sn	sess	chordID	num_trials	accuracy	num_fingers	MD	MT	RT	ET	MD_std	MT_std	RT_std	ET_std	diff_force_f1	diff_force_f2	diff_force_f3	diff_force_f4	diff_force_f5	force_f1	force_f2	force_f3	force_f4	force_f5	force_e1	force_e2	force_e3	force_e4	force_e5
 9	1	21199	5	  1	3	   0.459286	      636	    276.4	    912.4	  0.6395391	 1129.9336	280.54376	1404.4425	    -3.37598	     3.14226	    3.45482	   -0.344142	  -0.1984052	     1.87372	   -0.774972	  -0.6162182	    0.102879	   -0.056548	     -1.50228	      2.36726	     2.838618	     -0.24127	     -0.25499
 9	1	21919	5	  1	3	   0.974752	   1468.8	      568	   2036.8	  0.4400981	 1160.6202	130.78991	1281.1078	    -2.96876	     2.64808	  -0.312972	     1.63386	    0.077448	     2.34942	   -0.670994	   0.2877181	    -0.86166	  -0.0560876	     -0.61922	      1.97708	   -0.0252558	     0.772204	   0.02137704
 9	1	21991	5	  1	3	   0.951514	      894	    247.2	   1141.2	  0.7741392	 864.81559	325.32322	1110.1483	    -3.56922	     3.32262	  0.1673782	    0.146966	     2.00192	      3.1737	    -0.61321	   0.4649294	   0.1226842	   -0.743824	    -0.395506	      2.70938	    0.6323208	    0.2696344	      1.25808
 9	1	29119	5	  1	3	   0.817666	   1259.2	    323.2	   1582.4	  0.3366703	 564.38391	232.81151	601.85945	    -3.39042	    0.363648	    3.27228	     1.77018	    0.264118	     2.59186	   -0.335812	  -0.6815058	   -0.680718	  -0.1109816	    -0.798548	    0.0278296	     2.590768	     1.089494	    0.1530922
 9	1	29191	5	  1	3	    1.15138	    604.4	    437.6	     1042	  0.3061615	 162.00864	342.93848	449.64653	      -3.148	    0.535404	    3.13778	   0.0855154	     2.19694	     2.51086	   -0.414588	   -0.662275	   0.0688494	   -0.653702	     -0.63718	    0.1208066	     2.475498	    0.1543377	      1.54324
 9	1	29911	5	  1	3	    1.10397	   1961.2	    446.8	     2408	  0.3230781	 806.33194	125.23258	839.39502	    -4.26206	   0.4037208	   0.188114	      1.6538	     2.03042	     3.64306	  -0.3033976	   -0.138575	    -0.75932	   -0.798264	    -0.618846	    0.1003358	    0.0495395	      0.89448	      1.23214
 9	1	91129	5	  1	3	    0.72808	    943.2	    336.4	   1279.6	  0.4125863	 1213.3842	243.91556	1450.7277	   -0.155642	      3.0855	    3.06806	    -2.51986	   0.4537868	   -0.994612	    -1.18568	  -0.8239518	     1.74524	   -0.461604	     -1.15034	       1.8998	     2.244118	    -0.774568	   -0.0078518
 9	1	91192	5	  1	3	   1.035346	   1730.4	    212.4	   1942.8	  0.2830545	 1344.9129	118.99916	1378.4372	    0.111286	      2.8826	    3.87518	   -0.204422	    -1.92012	  -0.1916537	   -0.613738	  -0.8119528	    0.795184	      1.7757	   -0.0803782	      2.26892	     3.063198	     0.590776	    -0.144442
 9	1	91219	5	  1	3	    1.76602	   2973.6	    280.4	     3254	   1.163121	 2732.9264	 71.47587	 2789.363	   0.2752258	     2.83046	   -3.82144	     1.79036	   -0.115762	   -0.252612	   -0.785178	     3.70721	     -0.7194	    0.103816	    0.0225524	      2.04524	   -0.1142042	     1.070984	    -0.011958
 9	1	91291	5	  1	3	    1.41095	   1732.8	    231.2	     1964	  0.5311531	 697.28129	191.13137	814.79323	   0.2217028	     3.12038	   -4.16496	   -0.111852	      2.4657	   -0.454614	   -0.752724	    3.928546	   0.2108422	   -0.726048	    -0.232916	       2.3677	    -0.236362	   0.09897868	      1.73962
 9	1	91912	5	  1	3	    1.70954	   2036.8	      284	   2320.8	  0.2163814	 625.12175	82.764727	643.91708	  -0.0491172	     3.82986	 -0.2222892	      1.9198	    -1.94008	    -1.25336	    -1.14122	    1.507754	   -0.935248	     1.48816	     -1.30246	      2.68862	     1.285458	     0.984554	    -0.451944
 9	1	91921	4	0.8	3	    1.76035	     2149	    324.5	   2473.5	  0.4468105	 1404.2588	155.58385	1431.8467	     0.23441	      3.4319	   -0.25242	   -2.505325	      2.1509	  -0.3837025	   -1.014887	     1.91481	    1.820375	    -0.69819	    -0.149335	     2.417025	     1.662397	   -0.6849675	     1.452675
 9	1	92119	5	  1	3	   0.798634	    565.6	    153.2	    718.8	  0.6569235	 477.12556	78.646042	483.78632	   0.2396228	    -2.84824	    3.69604	        2.01	    0.454506	   0.1000036	     2.83966	  -0.7522444	   -0.750138	   -0.320742	     0.339612	  -0.00848636	     2.943786	      1.25986	    0.1337504
 9	1	92191	5	  1	3	      1.653	   1151.2	    305.2	   1456.4	  0.2443187	 783.00524	96.183159	823.75895	    0.190131	     -3.6428	    3.17702	    0.025152	     2.08264	   -0.766638	      3.6422	  -0.8515518	   -0.130478	    -1.07488	    -0.576428	 -0.000572052	     2.325462	    -0.105318	     1.007746
 9	1	92911	5	  1	3	   1.376512	     1952	    327.6	   2279.6	  0.4700622	  2197.109	87.571685	 2260.447	   -0.341074	    -3.16508	 -0.2048248	      1.7106	     2.34892	    0.004541	     3.16478	    1.106667	    -0.60041	   -0.573454	    -0.336574	 -0.000325438	    0.9018594	      1.11018	       1.7755
 9	1	99112	5	  1	3	   1.034848	      674	    220.8	    894.8	  0.2836112	 311.36153	254.15979	561.77504	    -0.91785	    0.064742	    3.58164	     2.43266	    -1.87544	     0.39779	   0.0511362	  -0.1709866	   -0.702186	     1.52464	     -0.52007	    0.1158742	     3.410668	      1.73046	    -0.350864
