finger	dirX	dirY	dirZ	group	w_f	w_b	subj_id	cond_vec
0	-0.9999999999989999	0.0	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
0	0.9999999999989999	0.0	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
0	0.0	0.9999999999989999	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
0	0.0	0.0	0.9999999999989999	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
1	0.9999999999989999	0.0	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
1	0.0	0.9999999999989999	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
1	0.0	0.0	0.9999999999989999	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
2	0.9999999999989999	0.0	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
2	0.0	0.9999999999989999	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
2	0.0	0.0	0.9999999999989999	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
3	0.9999999999989999	0.0	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke	0.19108850619643628	0.680936014129161	100	0,0,0
